"Year","Variables","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2025","Inter-Bank Exchange Rate - End Period (GHC/US$)","15.3000","15.5300","15.5300","14.1500","10.2800","10.3100","10.5000","11.4000","","","",""
"2025","Inter-Bank Exchange Rate - End Period (GHC/GBP)","19.0003","19.5484","20.0951","18.8769","13.8529","14.1252","13.8942","15.3997","","","",""
"2025","Inter-Bank Exchange Rate - End Period (GHC/EURO)","15.9012","16.1524","16.8068","16.0640","11.6675","12.1138","12.0150","13.3360","","","",""
"2024","Inter-Bank Exchange Rate - End Period (GHC/US$)","12.0356","12.4642","12.8770","13.2739","14.1301","14.5860","14.9009","15.1899","15.8000","16.3000","15.2700","14.7000"
"2024","Inter-Bank Exchange Rate - End Period (GHC/GBP)","15.3027","15.8022","16.2617","16.6243","17.9996","18.4375","19.1305","19.9261","21.1823","20.9700","19.3952","18.4008"
"2024","Inter-Bank Exchange Rate - End Period (GHC/EURO)","13.0547","13.5234","13.9031","14.1900","15.3345","15.6270","16.1065","16.7828","17.6108","17.6992","16.1291","15.2141"
"2023","Inter-Bank Exchange Rate - End Period (GHC/US$)","10.7997","11.0135","11.0137","10.9516","10.9715","10.9972","11.0034","11.0192","11.1285","11.4963","11.6206","11.8800"
"2023","Inter-Bank Exchange Rate - End Period (GHC/GBP)","13.2863","13.3699","13.6218","13.7624","13.5888","13.9879","14.1482","13.9514","13.5935","13.9399","14.6821","15.1334"
"2023","Inter-Bank Exchange Rate - End Period (GHC/EURO)","11.7262","11.7182","11.9657","12.0876","11.6978","12.0073","12.1272","11.9473","11.7774","12.1438","12.6756","13.1264"
"2022","Inter-Bank Exchange Rate - End Period (GHC/US$)","6.0236","6.6004","7.1122","7.1128","7.1441","7.2305","7.6120","8.2325","9.6048","13.0086","13.1044","8.5760"
"2022","Inter-Bank Exchange Rate - End Period (GHC/GBP)","8.0882","8.8568","9.3515","8.9333","9.0041","8.8043","9.2642","9.5872","10.7017","14.9541","15.6919","10.3118"
"2022","Inter-Bank Exchange Rate - End Period (GHC/EURO)","6.7506","7.4100","7.8986","7.4963","7.6650","7.5797","7.7658","8.2909","9.4147","12.8610","13.5813","9.1457"
"2021","Inter-Bank Exchange Rate - End Period (GHC/US$)","5.7604","5.7374","5.7288","5.7322","5.7473","5.7626","5.8011","5.8517","5.8663","5.9009","5.9172","6.0061"
"2021","Inter-Bank Exchange Rate - End Period (GHC/GBP)","7.8996","7.9945","7.8717","7.9222","8.1672","7.9590","8.0633","8.0482","7.9140","8.0816","7.9054","8.1272"
"2021","Inter-Bank Exchange Rate - End Period (GHC/EURO)","6.9929","6.9545","6.7122","6.8958","7.0268","6.8333","6.8808","6.9068","6.7952","6.8231","6.7346","6.8281"
"2020","Inter-Bank Exchange Rate - End Period (GHC/US$)","5.4672","5.2949","5.4423","5.6010","5.6203","5.6674","5.6782","5.6848","5.7027","5.7100","5.7139","5.7602"
"2020","Inter-Bank Exchange Rate - End Period (GHC/GBP)","7.1924","6.7881","6.7583","7.0584","6.9186","7.0038","7.4050","7.5997","7.3585","7.3913","7.6426","7.8742"
"2020","Inter-Bank Exchange Rate - End Period (GHC/EURO)","6.0476","5.8048","5.9752","6.1276","6.2406","6.3613","6.6944","6.7916","6.6786","6.6703","6.8559","7.0643"
"2019","Inter-Bank Exchange Rate - End Period (GHC/US$)","4.9506","5.1752","5.0834","5.0881","5.2011","5.2590","5.2570","5.2814","5.3161","5.3372","5.5254","5.5337"
"2019","Inter-Bank Exchange Rate - End Period (GHC/GBP)","6.5121","6.8704","6.6166","6.6297","6.5641","6.6787","6.4267","6.4296","6.5412","6.9010","7.1322","7.3164"
"2019","Inter-Bank Exchange Rate - End Period (GHC/EURO)","5.6824","5.8799","5.7084","5.7002","5.7974","5.9832","5.8529","5.8095","5.7956","5.9445","6.0785","6.2114"